date,open,high,low,close,movement
2020-06-10,107.015,107.227,106.598,106.981,down
2020-06-11,106.822,107.551,106.601,106.803,up
2020-06-14,107.307,107.477,107.0,107.311,up
2020-06-15,107.465,107.62,107.24,107.464,down
2020-06-16,107.38,107.437,107.163,107.41,down
2020-06-17,106.863,107.123,106.666,106.894,up
2020-06-18,106.992,107.04,106.772,107.006,down
2020-06-21,106.818,106.998,106.783,106.831,up
2020-06-22,106.886,107.217,106.082,106.903,down
2020-06-23,106.413,106.976,106.384,106.432,up
2020-06-24,107.032,107.445,107.03,107.044,up
2020-06-25,107.153,107.349,106.798,107.155,up
2020-06-28,107.222,107.88,107.051,107.218,up
2020-06-29,107.601,107.922,107.53,107.59,up
2020-06-30,107.985,108.158,107.368,107.989,down
2020-07-01,107.358,107.717,107.347,107.366,up
2020-07-02,107.509,107.566,107.439,107.497,up
2020-07-05,107.579,107.77,107.434,107.579,down
2020-07-06,107.353,107.788,107.23,107.359,up
2020-07-07,107.574,107.705,107.387,107.578,down
2020-07-08,107.265,107.392,107.103,107.283,down
2020-07-09,107.233,107.262,106.665,107.236,down
2020-07-12,106.912,107.311,106.788,106.91,up
2020-07-13,107.29,107.412,107.12,107.276,down
2020-07-14,107.245,107.305,106.663,107.245,down
2020-07-15,106.884,107.197,106.838,106.917,up
2020-07-16,107.288,107.353,107.06,107.278,down
2020-07-19,107.077,107.5,107.037,107.09,up
2020-07-20,107.171,107.364,106.805,107.196,down
2020-07-21,106.814,107.202,106.718,106.832,up
2020-07-22,107.166,107.216,106.833,107.175,down
2020-07-23,106.836,106.836,105.759,106.838,down
2020-07-26,105.956,106.047,105.121,105.993,down
2020-07-27,105.291,105.679,104.958,105.261,down
2020-07-28,105.11,105.228,104.8,105.107,down
2020-07-29,105.016,105.288,104.912,105.032,down
2020-07-30,104.667,105.796,104.199,104.683,up
2020-08-02,105.845,106.429,105.579,105.866,up
2020-08-03,106.047,106.192,105.727,106.03,down
2020-08-04,105.597,105.864,105.328,105.614,down
2020-08-05,105.55,105.691,105.302,105.553,up
2020-08-06,105.561,106.042,105.48,105.581,up
2020-08-09,105.852,106.194,105.71,105.85,up
2020-08-10,105.998,106.571,105.944,105.992,up
2020-08-11,106.458,106.998,106.458,106.521,up
2020-08-12,106.812,106.991,106.57,106.822,up
2020-08-13,106.965,107.027,106.446,106.986,down
2020-08-16,106.569,106.638,105.953,106.554,down
2020-08-17,105.986,105.986,105.294,105.995,down
2020-08-18,105.222,105.759,105.114,105.224,up
2020-08-19,106.09,106.198,105.772,106.079,down
